Number,Title,Description,Categories,Video,Timestamp,PrimaryGroup
155,"Polly","Resilience library for retries, circuit breakers, and timeouts. Essential for microservices.","architecture,resilience","https://www.youtube.com/watch?v=V2uRyxffnHA","25:30","Security & Web API"
156,"Deterministic Builds","Set <Deterministic>true</Deterministic> for reproducible build outputs.","tooling,devops","https://www.youtube.com/watch?v=V2uRyxffnHA","25:55","Tooling & Debugging"
157,"Directory.Build.props","Use this file to enforce settings (like Nullable, ImplicitUsings) across all projects in a solution.","tooling,msbuild","https://www.youtube.com/watch?v=V2uRyxffnHA","26:15","Tooling & Debugging"
158,"Minimal APIs","Use Minimal APIs for lower overhead and simpler syntax than Controllers.","asp.net,net6","https://www.youtube.com/watch?v=V2uRyxffnHA","26:40","Security & Web API"
159,"Endpoint Filters","Use filters in Minimal APIs to run validation or logging logic before endpoints.","asp.net,middleware","https://www.youtube.com/watch?v=V2uRyxffnHA","27:05","Security & Web API"
160,"TypedResults","Return TypedResults in Minimal APIs for better unit testing support.","asp.net,testing","https://www.youtube.com/watch?v=V2uRyxffnHA","27:30","Security & Web API"
161,"Short Circuit","Bypass middleware for static assets using .ShortCircuit() in Minimal APIs.","asp.net,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","28:00","Runtime & Performance"
162,"Route Groups","Group Minimal API endpoints to share prefixes, tags, and filters.","asp.net,api-design","https://www.youtube.com/watch?v=V2uRyxffnHA","28:30","Security & Web API"
163,"AsParameters","Bind complex argument lists in Minimal APIs to a single object/record.","asp.net,clean-code","https://www.youtube.com/watch?v=V2uRyxffnHA","29:00","Security & Web API"
164,"Form Binding","Bind multipart/form-data requests directly to objects in Minimal APIs.","asp.net,api-design","https://www.youtube.com/watch?v=V2uRyxffnHA","29:30","Security & Web API"
166,"HTTP Repl","Explore APIs via CLI using 'dotnet httprepl' (cd, ls, get).","tooling,testing","https://www.youtube.com/watch?v=V2uRyxffnHA","30:40","Tooling & Architecture"
167,"Insomnia/Postman","Use dedicated API clients for testing complex requests and auth flows.","tooling,testing","https://www.youtube.com/watch?v=V2uRyxffnHA","31:00","Tooling & Architecture"
165,"API Versioning","Always implement versioning (URL/Header) to avoid breaking changes.","api-design,architecture","https://www.youtube.com/watch?v=V2uRyxffnHA","30:10","Security & Web API"
168,"Global Exception Handling","Use IExceptionHandler for a standardized error handling pipeline.","asp.net,patterns","https://www.youtube.com/watch?v=V2uRyxffnHA","31:20","Security & Web API"
169,"Problem Details","Use the RFC 7807 ProblemDetails standard for consistent API error responses (Type, Title, Status).","asp.net,api-design","https://www.youtube.com/watch?v=V2uRyxffnHA","31:50","Security & Web API"
170,"Serilog","Replace the default logger with Serilog for advanced structured logging, enrichment, and output sinks.","logging,libraries","https://www.youtube.com/watch?v=V2uRyxffnHA","32:15","Security & Web API"
171,"OpenTelemetry","Adopt OTEL for standardized observability across your distributed systems.","devops,monitoring","https://www.youtube.com/watch?v=V2uRyxffnHA","32:45","Security & Web API"
172,"Metrics API","Use System.Diagnostics.Metrics (Meters) instead of Stopwatch for observability.","devops,monitoring","https://www.youtube.com/watch?v=V2uRyxffnHA","33:10","Tooling & Architecture"
173,"Distributed Tracing","Track requests across microservices using ActivitySource and W3C TraceContext.","devops,monitoring","https://www.youtube.com/watch?v=V2uRyxffnHA","33:40","Tooling & Architecture"
174,"Logging Best Practices","Use structured logging and avoid logging sensitive data (PII).","logging,best-practices","https://www.youtube.com/watch?v=V2uRyxffnHA","34:00","Tooling & Architecture"
175,"Security Headers","Add security headers (HSTS, CSP) to responses to protect users.","security,web","https://www.youtube.com/watch?v=V2uRyxffnHA","34:15","Security & Best Practices"
176,"No User Secrets in Prod","Never use User Secrets in production; use Key Vaults instead.","security,devops","https://www.youtube.com/watch?v=V2uRyxffnHA","34:30","Security & Best Practices"
177,"OWASP Top 10","Study common vulnerabilities like Injection and Broken Auth to secure apps.","security,best-practices","https://www.youtube.com/watch?v=V2uRyxffnHA","35:00","Security & Best Practices"
178,"Data Protection API","Use DPAPI to encrypt sensitive data at rest using the machine key.","security,encryption","https://www.youtube.com/watch?v=V2uRyxffnHA","35:30","Security & Best Practices"
179,"Validation","Use FluentValidation to separate validation rules from data models.","architecture,validation","https://www.youtube.com/watch?v=V2uRyxffnHA","35:50","Tooling & Architecture"
180,"MediatR Pipeline Behaviors","Implement cross-cutting concerns like validation/logging once in a pipeline behavior.","architecture,patterns","https://www.youtube.com/watch?v=V2uRyxffnHA","36:10","Advanced & Architecture"
181,"CQRS","Command Query Responsibility Segregation. Split read and write models.","architecture,patterns","https://www.youtube.com/watch?v=V2uRyxffnHA","36:40","Advanced & Architecture"
182,"Event Sourcing","Store state as a sequence of events rather than current values.","architecture,advanced","https://www.youtube.com/watch?v=V2uRyxffnHA","37:10","Advanced & Architecture"
183,"Domain Driven Design","Align software design with business domain complexity (Aggregates, Value Objects).","architecture,design","https://www.youtube.com/watch?v=V2uRyxffnHA","37:40","Advanced & Architecture"
184,"Modular Monolith","Build monoliths with enforced module boundaries to ease future microservice splits.","architecture,design","https://www.youtube.com/watch?v=V2uRyxffnHA","38:00","Advanced & Architecture"
185,"Vertical Slice Architecture","Organize code by feature instead of layers to reduce complexity and coupling.","architecture,design","https://www.youtube.com/watch?v=V2uRyxffnHA","38:20","Advanced & Architecture"
186,"Clean Architecture","Separate Domain, Application, and Infrastructure layers strictly.","architecture,design","https://www.youtube.com/watch?v=V2uRyxffnHA","38:50","Tooling & Architecture"
187,"Hexagonal Architecture","Ports and Adapters. Isolate core logic from external concerns like DBs or UIs.","architecture,design","https://www.youtube.com/watch?v=V2uRyxffnHA","39:10","Advanced & Architecture"
188,"Event Driven Architecture","Decouple services by communicating via asynchronous events (Service Bus).","architecture,microservices","https://www.youtube.com/watch?v=V2uRyxffnHA","39:30","Advanced & Architecture"
189,"Saga Pattern","Manage distributed transactions across services using Sagas (Orchestration/Choreography).","architecture,microservices","https://www.youtube.com/watch?v=V2uRyxffnHA","39:40","Advanced & Architecture"
190,"REPR Pattern","Request-Endpoint-Response. Treat API endpoints as standalone handlers.","architecture,api-design","https://www.youtube.com/watch?v=V2uRyxffnHA","39:50","Advanced & Architecture"
191,"Strangler Fig Pattern","Migrate legacy systems by gradually replacing functionality with new services.","architecture,migration","https://www.youtube.com/watch?v=V2uRyxffnHA","40:10","Advanced & Architecture"
192,"Sidecar Pattern","Offload common tasks (logging, proxying) to a separate process/container.","architecture,microservices","https://www.youtube.com/watch?v=V2uRyxffnHA","40:30","Advanced & Architecture"
193,"BFF Pattern","Backend for Frontend. Create specific API gateways for different clients (Mobile vs Web).","architecture,patterns","https://www.youtube.com/watch?v=V2uRyxffnHA","40:50","Advanced & Architecture"
194,"Fuzz Testing","Test apps with random, invalid data to find edge cases and crashes.","testing,security","https://www.youtube.com/watch?v=V2uRyxffnHA","41:30","Security & Best Practices"
195,"AOT Compilation","Use Native AOT for faster startup and lower memory footprint in serverless/CLI apps.","performance,deployment","https://www.youtube.com/watch?v=V2uRyxffnHA","42:00","Final Polish"
196,"SIMD","Use Vector<T> to perform hardware-accelerated parallel math operations.","performance,math","https://www.youtube.com/watch?v=V2uRyxffnHA","42:40","Runtime & Performance"
197,"Hardware Intrinsics","Access CPU-specific instructions (AVX2, BMI) directly in C# for max speed.","performance,advanced","https://www.youtube.com/watch?v=V2uRyxffnHA","43:10","Runtime & Performance"
198,"Testcontainers","Use Testcontainers for integration tests to spin up real Docker instances of DBs/Services.","testing,docker","https://www.youtube.com/watch?v=V2uRyxffnHA","43:50","Advanced & Architecture"
199,".NET Aspire","Use Aspire for orchestrating local development of distributed cloud-native apps.","architecture,cloud-native","https://www.youtube.com/watch?v=V2uRyxffnHA","44:30","Final Polish"
200,"Keep Learning","Stay curious and updated with new .NET versions to keep your skills sharp.","career,mindset","https://www.youtube.com/watch?v=V2uRyxffnHA","45:00","Final Polish"
